train_loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.32342,0.002357531,9.19E-05,100,200,0.3023,0.3195,0.1278,0.2271,77.6233,7.408,0.464,,,,,
0.33293,0.004238856,8.35E-05,200,400,0.3012,0.3105,0.1231,0.2277,74.7695,7.69,0.481,,,,,
0.31984,0.000188189,7.52E-05,300,600,0.2929,0.3118,0.1207,0.2268,75.0549,7.661,0.48,,,,,
0.30112,0.00024367,6.69E-05,400,800,0.2931,0.3126,0.1236,0.2304,75.0985,7.657,0.479,,,,,
0.30872,6.07E-05,5.85E-05,500,1000,0.2911,0.3167,0.1259,0.2269,76.2933,7.537,0.472,,,,,
0.29653,5.92E-05,5.02E-05,600,1200,0.2922,0.3182,0.1287,0.2265,76.2431,7.542,0.472,,,,,
0.31764,0.000150122,4.19E-05,700,1400,0.2841,0.3127,0.1225,0.2234,74.7985,7.687,0.481,,,,,
0.29782,0.000113495,3.35E-05,800,1600,0.2823,0.3131,0.1341,0.2342,75.9665,7.569,0.474,,,,,
0.30541,3.83E-05,2.52E-05,900,1800,0.2835,0.3118,0.1326,0.2407,76.2074,7.545,0.472,,,,,
0.29224,2.94E-05,1.69E-05,1000,2000,0.2711,0.3143,0.1358,0.2442,75.6811,7.598,0.476,,,,,
0.30348,4.34E-05,8.54E-06,1100,2200,0.2745,0.3143,0.1345,0.2444,74.9204,7.675,0.481,,,,,
0.30851,3.74E-05,2.08E-07,1200,2400,0.2744,0.3158,0.1333,0.2433,74.7911,7.688,0.481,1982.4149,19.37,1.211,2.36E+16,0.027041989
