train_loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3865,0.564636052,9.17E-05,100,200,0.3468,0.3139,0.1239,0.2217,77.3,7.439,0.466,,,,,
0.3654,0.145557925,8.35E-05,200,400,0.3387,0.3231,0.1216,0.2224,77.7016,7.4,0.463,,,,,
0.3533,0.000535958,7.52E-05,300,600,0.3315,0.3172,0.1293,0.2367,78.7133,7.305,0.457,,,,,
0.3467,0.000674219,6.68E-05,400,800,0.3254,0.3165,0.1277,0.2363,79.893,7.197,0.451,,,,,
0.3343,0.000160789,5.85E-05,500,1000,0.3187,0.3243,0.1232,0.2236,80.6098,7.133,0.447,,,,,
0.3234,0.000308378,5.02E-05,600,1200,0.3091,0.3254,0.1277,0.2289,80.6051,7.134,0.447,,,,,
0.3119,9.11E-05,4.18E-05,700,1400,0.3045,0.3202,0.1302,0.2369,80.5403,7.139,0.447,,,,,
0.3045,0.000338223,3.35E-05,800,1600,0.3033,0.3266,0.1348,0.2411,80.996,7.099,0.444,,,,,
0.2967,0.000140116,2.52E-05,900,1800,0.2991,0.3201,0.1301,0.2383,80.7724,7.119,0.446,,,,,
0.291,8.93E-05,1.68E-05,1000,2000,0.3015,0.3215,0.1367,0.2373,81.2854,7.074,0.443,,,,,
0.291,8.51E-05,8.50E-06,1100,2200,0.3015,0.3154,0.1285,0.2358,81.5518,7.051,0.441,,,,,
0.291,8.57E-05,1.67E-07,1200,2400,0.3015,0.3245,0.1334,0.2267,80.8691,7.11,0.445,1759.8174,21.82,1.364,2.36E+16,0.003271667
