train_loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3944,0.019920012,9.18E-06,100,200,0.3468,0.2672,0.1261,0.2043,60.6111,9.487,0.594,,,,,
0.3439,0.01288558,8.35E-06,200,400,0.3268,0.2743,0.1244,0.2114,60.291,9.537,0.597,,,,,
0.3138,0.014179911,7.52E-06,300,600,0.3045,0.2845,0.1242,0.2187,60.061,9.574,0.599,,,,,
0.2875,0.008451842,6.68E-06,400,800,0.281,0.2876,0.1245,0.2211,59.5119,9.662,0.605,,,,,
0.2754,0.00443929,5.85E-06,500,1000,0.2691,0.2854,0.1261,0.2215,59.6253,9.644,0.604,,,,,
0.2733,0.00437388,5.02E-06,600,1200,0.2656,0.2888,0.1266,0.2254,58.7782,9.783,0.612,,,,,
0.2689,0.003683943,4.18E-06,700,1400,0.2656,0.2833,0.1287,0.2287,58.7544,9.786,0.613,,,,,
0.2655,0.00193789,3.35E-06,800,1600,0.2656,0.2892,0.1301,0.2198,59.0218,9.742,0.61,,,,,
0.2624,0.002979198,2.52E-06,900,1800,0.2656,0.2894,0.1289,0.2154,58.6862,9.798,0.613,,,,,
0.2593,0.001830126,1.68E-06,1000,2000,0.2656,0.2813,0.1298,0.2133,59.0022,9.745,0.61,,,,,
0.2564,0.001357312,8.50E-07,1100,2200,0.2656,0.2844,0.1245,0.2145,59.2128,9.711,0.608,,,,,
0.2532,0.002147309,1.67E-08,1200,2400,0.2656,0.2855,0.1288,0.2156,59.2372,9.707,0.608,1490.3834,25.765,1.61,2.36E+16,0.035811388
