,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0583,2.4878122806549072,9.666666666666667e-05,0.15,100,,,,,,,,,,,,,,
1,,,,0.15,100,1.8875832557678223,0.3196,0.1307,0.2391,0.2391,38.9791,37.4991,15.334,1.92,,,,,
2,1.0736,2.3900082111358643,9.333333333333334e-05,0.31,200,,,,,,,,,,,,,,
3,,,,0.31,200,1.9152857065200806,0.3195,0.1278,0.2371,0.2373,38.967,37.4139,15.369,1.924,,,,,
4,1.0864,2.8105759620666504,9e-05,0.46,300,,,,,,,,,,,,,,
5,,,,0.46,300,1.9104512929916382,0.3209,0.1319,0.2401,0.2403,38.9635,37.5197,15.325,1.919,,,,,
6,1.1013,3.052558183670044,8.666666666666667e-05,0.62,400,,,,,,,,,,,,,,
7,,,,0.62,400,1.9086031913757324,0.3205,0.131,0.2377,0.2378,38.9826,37.5342,15.319,1.918,,,,,
8,1.1726,2.3814587593078613,8.333333333333334e-05,0.77,500,,,,,,,,,,,,,,
9,,,,0.77,500,1.9133033752441406,0.3198,0.1336,0.2413,0.2416,38.9583,37.6193,15.285,1.914,,,,,
10,1.1456,2.323118209838867,8e-05,0.93,600,,,,,,,,,,,,,,
11,,,,0.93,600,1.91180419921875,0.318,0.1307,0.2368,0.2368,38.9826,37.6953,15.254,1.91,,,,,
12,1.0879,2.102309226989746,7.666666666666667e-05,1.08,700,,,,,,,,,,,,,,
13,,,,1.08,700,1.924867033958435,0.3252,0.1354,0.2423,0.2424,38.9913,37.5321,15.32,1.918,,,,,
14,1.0913,2.2152905464172363,7.333333333333333e-05,1.24,800,,,,,,,,,,,,,,
15,,,,1.24,800,1.9265204668045044,0.3226,0.1306,0.2404,0.2406,38.9878,37.5768,15.302,1.916,,,,,
16,1.1625,2.5761632919311523,7e-05,1.39,900,,,,,,,,,,,,,,
17,,,,1.39,900,1.8986040353775024,0.3235,0.1327,0.2416,0.2421,38.9791,37.7383,15.236,1.908,,,,,
18,1.164,2.6540143489837646,6.666666666666667e-05,1.55,1000,,,,,,,,,,,,,,
19,,,,1.55,1000,1.89743971824646,0.3255,0.1359,0.2469,0.2472,38.967,37.6456,15.274,1.913,,,,,
20,1.1867,2.1736867427825928,6.333333333333333e-05,1.7,1100,,,,,,,,,,,,,,
21,,,,1.7,1100,1.8899542093276978,0.3236,0.1364,0.2429,0.2435,38.9896,37.6276,15.281,1.913,,,,,
22,1.2197,2.533205509185791,6e-05,1.86,1200,,,,,,,,,,,,,,
23,,,,1.86,1200,1.8703683614730835,0.3182,0.1287,0.2365,0.2369,38.9757,37.4111,15.37,1.925,,,,,
24,1.2385,2.7539384365081787,5.666666666666667e-05,2.01,1300,,,,,,,,,,,,,,
