,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.3423,2.2810146808624268,9.666666666666667e-06,0.15,100,,,,,,,,,,,,,,
1,,,,0.15,100,1.751128911972046,0.288,0.1167,0.2199,0.2199,29.0,30.3271,18.96,2.374,,,,,
2,1.3482,2.0614092350006104,9.333333333333334e-06,0.31,200,,,,,,,,,,,,,,
3,,,,0.31,200,1.7616785764694214,0.2876,0.1168,0.2209,0.221,29.0,30.3288,18.959,2.374,,,,,
4,1.3458,2.7869415283203125,9e-06,0.46,300,,,,,,,,,,,,,,
5,,,,0.46,300,1.7650057077407837,0.2907,0.1196,0.223,0.2232,29.0,30.303,18.975,2.376,,,,,
6,1.352,2.26487135887146,8.666666666666668e-06,0.62,400,,,,,,,,,,,,,,
7,,,,0.62,400,1.7715191841125488,0.2885,0.119,0.2218,0.222,29.0,30.3831,18.925,2.37,,,,,
8,1.409,2.0214133262634277,8.333333333333334e-06,0.77,500,,,,,,,,,,,,,,
9,,,,0.77,500,1.7738133668899536,0.2886,0.1188,0.2211,0.2213,29.0,30.4137,18.906,2.367,,,,,
10,1.3717,1.905389666557312,8.000000000000001e-06,0.93,600,,,,,,,,,,,,,,
11,,,,0.93,600,1.7766326665878296,0.287,0.1177,0.2201,0.2199,29.0,30.2423,19.013,2.381,,,,,
12,1.3193,2.0097239017486572,7.666666666666667e-06,1.08,700,,,,,,,,,,,,,,
13,,,,1.08,700,1.7793840169906616,0.286,0.1159,0.2193,0.2193,29.0,30.2686,18.997,2.379,,,,,
14,1.3356,2.786039352416992,7.333333333333333e-06,1.24,800,,,,,,,,,,,,,,
15,,,,1.24,800,1.7797091007232666,0.2865,0.1157,0.2188,0.2188,29.0,30.3855,18.923,2.37,,,,,
16,1.3941,2.1984951496124268,7e-06,1.39,900,,,,,,,,,,,,,,
17,,,,1.39,900,1.7769709825515747,0.2882,0.1168,0.2199,0.2197,29.0,30.265,18.999,2.379,,,,,
18,1.3854,2.255880832672119,6.666666666666667e-06,1.55,1000,,,,,,,,,,,,,,
19,,,,1.55,1000,1.7766461372375488,0.2895,0.1181,0.221,0.2209,29.0,30.1999,19.04,2.384,,,,,
20,1.396,1.7501896619796753,6.333333333333333e-06,1.7,1100,,,,,,,,,,,,,,
21,,,,1.7,1100,1.7776092290878296,0.2897,0.1192,0.2221,0.2219,29.0,30.2355,19.017,2.381,,,,,
22,1.4175,1.8361648321151733,6e-06,1.86,1200,,,,,,,,,,,,,,
23,,,,1.86,1200,1.7750941514968872,0.2868,0.1163,0.2196,0.2193,29.0,30.3319,18.957,2.374,,,,,
24,1.4366,2.542168140411377,5.666666666666667e-06,2.01,1300,,,,,,,,,,,,,,
25,,,,2.01,1300,1.7731635570526123,0.2867,0.1169,0.2201,0.2199,29.0,30.2763,18.992,2.378,,,,,
26,1.3997,2.360795021057129,5.333333333333334e-06,2.17,1400,,,,,,,,,,,,,,
27,,,,2.17,1400,1.777721881866455,0.2869,0.1178,0.2201,0.2201,29.0,30.281,18.989,2.378,,,,,
28,1.4168,2.083362102508545,5e-06,2.32,1500,,,,,,,,,,,,,,
29,,,,2.32,1500,1.7748602628707886,0.2894,0.1183,0.2214,0.2214,29.0,30.2476,19.01,2.38,,,,,
30,1.3983,1.8102869987487793,4.666666666666667e-06,2.48,1600,,,,,,,,,,,,,,
31,,,,2.48,1600,1.775298833847046,0.2896,0.1189,0.2223,0.2223,29.0,30.3435,18.95,2.373,,,,,
32,1.4604,3.2082748413085938,4.333333333333334e-06,2.63,1700,,,,,,,,,,,,,,
