,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.6021,2.1401898860931396,9.666666666666667e-05,0.15,100,,,,,,,,,,,,,,
1,,,,0.15,100,1.7530369758605957,0.3243,0.1326,0.2424,0.2421,38.9913,37.6213,15.284,1.914,,,,,
2,1.6022,2.3519225120544434,9.333333333333334e-05,0.31,200,,,,,,,,,,,,,,
3,,,,0.31,200,1.7582064867019653,0.3239,0.1339,0.2417,0.2419,38.9757,37.4957,15.335,1.92,,,,,
4,1.6019,3.1236867904663086,9e-05,0.46,300,,,,,,,,,,,,,,
5,,,,0.46,300,1.7557129859924316,0.3297,0.1364,0.2438,0.2436,38.9878,37.5192,15.325,1.919,,,,,
6,1.6137,2.319955825805664,8.666666666666667e-05,0.62,400,,,,,,,,,,,,,,
7,,,,0.62,400,1.7580729722976685,0.323,0.1316,0.2424,0.2427,38.9704,37.616,15.286,1.914,,,,,
8,1.6668,2.121713638305664,8.333333333333334e-05,0.77,500,,,,,,,,,,,,,,
9,,,,0.77,500,1.7531534433364868,0.32,0.1304,0.2373,0.2374,38.9896,37.5685,15.305,1.916,,,,,
10,1.6291,2.069889545440674,8e-05,0.93,600,,,,,,,,,,,,,,
11,,,,0.93,600,1.7508256435394287,0.3172,0.1293,0.2367,0.2366,38.993,37.6221,15.284,1.914,,,,,
12,1.5537,1.9952083826065063,7.666666666666667e-05,1.08,700,,,,,,,,,,,,,,
13,,,,1.08,700,1.7602895498275757,0.3142,0.1245,0.2329,0.2329,38.9896,37.4757,15.343,1.921,,,,,
14,1.5506,2.568049907684326,7.333333333333333e-05,1.24,800,,,,,,,,,,,,,,
15,,,,1.24,800,1.752859354019165,0.3176,0.1277,0.2363,0.236,38.9861,37.5665,15.306,1.917,,,,,
16,1.6099,2.2299001216888428,7e-05,1.39,900,,,,,,,,,,,,,,
17,,,,1.39,900,1.753273367881775,0.3263,0.1341,0.2424,0.2423,38.993,37.5886,15.297,1.915,,,,,
18,1.604,2.959439992904663,6.666666666666667e-05,1.55,1000,,,,,,,,,,,,,,
19,,,,1.55,1000,1.7609577178955078,0.3243,0.132,0.2436,0.2436,38.9878,37.5187,15.326,1.919,,,,,
20,1.6081,1.8444023132324219,6.333333333333333e-05,1.7,1100,,,,,,,,,,,,,,
21,,,,1.7,1100,1.749254822731018,0.3233,0.1328,0.241,0.2411,38.9948,37.6867,15.257,1.91,,,,,
22,1.6271,2.1165926456451416,6e-05,1.86,1200,,,,,,,,,,,,,,
23,,,,1.86,1200,1.7387118339538574,0.3183,0.1277,0.2389,0.2391,38.993,37.5516,15.312,1.917,,,,,
24,1.641,2.2762200832366943,5.666666666666667e-05,2.01,1300,,,,,,,,,,,,,,
25,,,,2.01,1300,1.7444615364074707,0.3242,0.1353,0.2416,0.2415,38.9965,37.4786,15.342,1.921,,,,,
26,1.5686,2.5021495819091797,5.333333333333333e-05,2.17,1400,,,,,,,,,,,,,,
27,,,,2.17,1400,1.7525241374969482,0.3202,0.1302,0.2369,0.2372,38.9913,37.4794,15.342,1.921,,,,,
28,1.58,2.64115571975708,5e-05,2.32,1500,,,,,,,,,,,,,,
29,,,,2.32,1500,1.7426289319992065,0.3242,0.1335,0.2392,0.2392,38.9757,37.5503,15.313,1.917,,,,,
30,1.5602,1.9136430025100708,4.666666666666667e-05,2.48,1600,,,,,,,,,,,,,,
31,,,,2.48,1600,1.7426804304122925,0.3266,0.1348,0.2411,0.241,38.96,37.6036,15.291,1.915,,,,,
32,1.6187,3.0660080909729004,4.3333333333333334e-05,2.63,1700,,,,,,,,,,,,,,
33,,,,2.63,1700,1.7428553104400635,0.3221,0.1322,0.2406,0.2405,38.9791,37.5422,15.316,1.918,,,,,
34,1.6318,2.530109167098999,4e-05,2.79,1800,,,,,,,,,,,,,,
35,,,,2.79,1800,1.735220193862915,0.3201,0.1301,0.2383,0.2384,38.9861,37.6156,15.286,1.914,,,,,
36,1.6457,2.31850004196167,3.6666666666666666e-05,2.94,1900,,,,,,,,,,,,,,
37,,,,2.94,1900,1.7384792566299438,0.323,0.1317,0.2382,0.2382,38.9791,37.5118,15.329,1.919,,,,,
38,1.5818,2.539267063140869,3.3333333333333335e-05,3.1,2000,,,,,,,,,,,,,,
39,,,,3.1,2000,1.7441916465759277,0.3215,0.1304,0.237,0.237,38.9913,37.5257,15.323,1.919,,,,,
40,1.5942,2.825316905975342,3e-05,3.25,2100,,,,,,,,,,,,,,
41,,,,3.25,2100,1.7436577081680298,0.3235,0.1324,0.2385,0.2385,38.9913,37.553,15.312,1.917,,,,,
42,1.6206,2.2352957725524902,2.6666666666666667e-05,3.41,2200,,,,,,,,,,,,,,
43,,,,3.41,2200,1.7389159202575684,0.3154,0.1285,0.2358,0.2359,38.9913,37.5693,15.305,1.916,,,,,
44,1.6399,2.4198670387268066,2.3333333333333336e-05,3.56,2300,,,,,,,,,,,,,,
45,,,,3.56,2300,1.7350916862487793,0.3201,0.1318,0.24,0.2401,38.9965,37.6367,15.278,1.913,,,,,
46,1.6012,2.939581871032715,2e-05,3.72,2400,,,,,,,,,,,,,,
47,,,,3.72,2400,1.7340612411499023,0.3225,0.133,0.2387,0.2387,38.9861,37.5561,15.31,1.917,,,,,
48,1.6465,2.9260904788970947,1.6666666666666667e-05,3.87,2500,,,,,,,,,,,,,,
49,,,,3.87,2500,1.7332513332366943,0.3249,0.1345,0.2414,0.2414,38.9913,37.5237,15.324,1.919,,,,,
50,1.6344,2.358492851257324,1.3333333333333333e-05,4.02,2600,,,,,,,,,,,,,,
51,,,,4.02,2600,1.7333908081054688,0.3233,0.134,0.2408,0.2406,38.9861,37.6319,15.28,1.913,,,,,
52,1.6183,2.3552801609039307,1e-05,4.18,2700,,,,,,,,,,,,,,
53,,,,4.18,2700,1.7312220335006714,0.3226,0.1342,0.2409,0.2409,38.9861,37.6354,15.278,1.913,,,,,
54,1.6136,2.474416971206665,6.666666666666667e-06,4.33,2800,,,,,,,,,,,,,,
55,,,,4.33,2800,1.7306008338928223,0.3216,0.1339,0.24,0.24,38.9791,37.8176,15.205,1.904,,,,,
