,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.9754,2.792680025100708,9.666666666666667e-06,0.15,100,,,,,,,,,,,,,,
1,,,,0.15,100,1.7816176414489746,0.3152,0.1276,0.2319,0.2318,38.9809,37.5475,15.314,1.918,,,,,
2,1.9511,2.09587025642395,9.333333333333334e-06,0.31,200,,,,,,,,,,,,,,
3,,,,0.31,200,1.7797266244888306,0.3183,0.13,0.2339,0.2342,38.9774,37.5752,15.303,1.916,,,,,
4,1.9393,2.4770634174346924,9e-06,0.46,300,,,,,,,,,,,,,,
5,,,,0.46,300,1.7774667739868164,0.3179,0.1286,0.2329,0.233,38.9809,37.8253,15.201,1.903,,,,,
6,1.9444,2.1138713359832764,8.666666666666668e-06,0.62,400,,,,,,,,,,,,,,
7,,,,0.62,400,1.7787503004074097,0.3188,0.1287,0.2346,0.2345,38.9809,37.4919,15.337,1.92,,,,,
8,1.9824,2.0443506240844727,8.333333333333334e-06,0.77,500,,,,,,,,,,,,,,
9,,,,0.77,500,1.777699589729309,0.3188,0.1288,0.2348,0.2346,38.9739,37.5181,15.326,1.919,,,,,
10,1.9516,1.982463002204895,8.000000000000001e-06,0.93,600,,,,,,,,,,,,,,
11,,,,0.93,600,1.778104543685913,0.3182,0.1282,0.2338,0.2339,38.9739,37.4749,15.344,1.921,,,,,
12,1.8915,2.3832318782806396,7.666666666666667e-06,1.08,700,,,,,,,,,,,,,,
13,,,,1.08,700,1.777704119682312,0.3172,0.1281,0.2332,0.2332,38.9774,37.5955,15.294,1.915,,,,,
14,1.9056,1.9818971157073975,7.333333333333333e-06,1.24,800,,,,,,,,,,,,,,
15,,,,1.24,800,1.775839924812317,0.3174,0.1292,0.2344,0.2344,38.9774,37.9062,15.169,1.899,,,,,
16,1.9546,2.4605772495269775,7e-06,1.39,900,,,,,,,,,,,,,,
17,,,,1.39,900,1.77274751663208,0.3192,0.1296,0.2343,0.2343,38.9722,37.7858,15.217,1.905,,,,,
18,1.9432,2.163177251815796,6.666666666666667e-06,1.55,1000,,,,,,,,,,,,,,
19,,,,1.55,1000,1.7707442045211792,0.3189,0.1278,0.2349,0.235,38.9722,37.7299,15.24,1.908,,,,,
20,1.9416,1.763058066368103,6.333333333333333e-06,1.7,1100,,,,,,,,,,,,,,
21,,,,1.7,1100,1.7708899974822998,0.3165,0.1269,0.2334,0.2333,38.9722,37.6331,15.279,1.913,,,,,
22,1.9466,2.100008487701416,6e-06,1.86,1200,,,,,,,,,,,,,,
23,,,,1.86,1200,1.7703168392181396,0.3175,0.128,0.2343,0.2342,38.9722,37.5896,15.297,1.915,,,,,
24,1.9676,2.007263422012329,5.666666666666667e-06,2.01,1300,,,,,,,,,,,,,,
25,,,,2.01,1300,1.7693661451339722,0.3169,0.1282,0.2335,0.2337,38.9774,37.6797,15.26,1.911,,,,,
26,1.9233,2.3467516899108887,5.333333333333334e-06,2.17,1400,,,,,,,,,,,,,,
27,,,,2.17,1400,1.7703571319580078,0.3176,0.1272,0.2331,0.2332,38.9774,37.4709,15.345,1.921,,,,,
28,1.9237,2.031912088394165,5e-06,2.32,1500,,,,,,,,,,,,,,
29,,,,2.32,1500,1.768753170967102,0.3169,0.1255,0.2321,0.2322,38.9722,37.4945,15.336,1.92,,,,,
30,1.8969,1.907031536102295,4.666666666666667e-06,2.48,1600,,,,,,,,,,,,,,
31,,,,2.48,1600,1.7696821689605713,0.3159,0.1266,0.2323,0.2325,38.9722,37.659,15.269,1.912,,,,,
32,1.9457,3.1752545833587646,4.333333333333334e-06,2.63,1700,,,,,,,,,,,,,,
33,,,,2.63,1700,1.7693716287612915,0.3176,0.1272,0.2331,0.2332,38.9722,37.5601,15.309,1.917,,,,,
34,1.9519,1.8975492715835571,4.000000000000001e-06,2.79,1800,,,,,,,,,,,,,,
35,,,,2.79,1800,1.7676339149475098,0.3167,0.1264,0.2328,0.233,38.9722,37.5558,15.311,1.917,,,,,
36,1.9556,2.307080030441284,3.6666666666666666e-06,2.94,1900,,,,,,,,,,,,,,
37,,,,2.94,1900,1.767574667930603,0.3181,0.1271,0.2333,0.2334,38.9722,37.7555,15.23,1.907,,,,,
38,1.9066,2.3394343852996826,3.3333333333333333e-06,3.1,2000,,,,,,,,,,,,,,
39,,,,3.1,2000,1.7671864032745361,0.319,0.1276,0.234,0.234,38.9722,37.5154,15.327,1.919,,,,,
40,1.9283,2.9510209560394287,3e-06,3.25,2100,,,,,,,,,,,,,,
41,,,,3.25,2100,1.7673672437667847,0.3173,0.1275,0.2329,0.2328,38.9722,37.5195,15.325,1.919,,,,,
42,1.9448,2.063894033432007,2.666666666666667e-06,3.41,2200,,,,,,,,,,,,,,
43,,,,3.41,2200,1.7667064666748047,0.3171,0.1272,0.2331,0.2331,38.9722,37.5156,15.327,1.919,,,,,
44,1.9547,2.0246291160583496,2.3333333333333336e-06,3.56,2300,,,,,,,,,,,,,,
45,,,,3.56,2300,1.7658641338348389,0.3171,0.127,0.2327,0.2327,38.9722,37.5441,15.315,1.918,,,,,
46,1.9035,2.299017906188965,2.0000000000000003e-06,3.72,2400,,,,,,,,,,,,,,
47,,,,3.72,2400,1.7657424211502075,0.3163,0.1264,0.2329,0.2329,38.9722,37.5642,15.307,1.917,,,,,
48,1.9446,1.8780758380889893,1.6666666666666667e-06,3.87,2500,,,,,,,,,,,,,,
49,,,,3.87,2500,1.7657407522201538,0.3171,0.127,0.233,0.233,38.9722,37.5341,15.319,1.918,,,,,
50,1.927,2.8124754428863525,1.3333333333333334e-06,4.02,2600,,,,,,,,,,,,,,
