,rouge1,rouge2,rougeL,rougeLsum
gpt4-abs-5_shots_low_temp_60_words,0.48203939745075325,0.14849187935034802,0.22363847045191196,0.22363847045191196
gpt4-abs-5_shots_med_temp_60_words,0.47449584816132867,0.14489311163895488,0.21352313167259784,0.21352313167259784
gpt4-abs-5_shots_high_temp_60_words,0.2779069767441861,0.0710128055878929,0.13488372093023257,0.13488372093023257
gpt35-abs-5_shots_low_temp_60_words,0.5122646891043925,0.1850371216447744,0.257843696520251,0.257843696520251
gpt35-abs-5_shots_med_temp_60_words,0.5200892857142857,0.13743016759776536,0.23325892857142855,0.23325892857142855
gpt35-abs-5_shots_high_temp_60_words,0.07082833133253301,0.007211538461538461,0.03361344537815126,0.03361344537815126
gpt4-abs-3_shots_low_temp_60_words,0.47884057971014493,0.15786419036564134,0.22724637681159424,0.22724637681159424
gpt4-abs-3_shots_med_temp_60_words,0.4933920704845815,0.1730981256890849,0.24008810572687225,0.24008810572687225
gpt4-abs-3_shots_high_temp_60_words,0.26850828729281767,0.0674778761061947,0.11933701657458565,0.11933701657458565
gpt35-abs-3_shots_low_temp_60_words,0.5315879339783722,0.18461538461538463,0.26067159931701767,0.26067159931701767
gpt35-abs-3_shots_med_temp_60_words,0.49612403100775193,0.14966740576496673,0.2292358803986711,0.2292358803986711
gpt35-abs-3_shots_high_temp_60_words,0.10496292070735881,0.011422044545973729,0.04449515116942385,0.04449515116942385
gpt4-abs-1_shot_low_temp_60_words,0.46500867553499137,0.1493920092646207,0.2197802197802198,0.2197802197802198
gpt4-abs-1_shot_med_temp_60_words,0.49798734905117886,0.1669545192861255,0.23691776883266244,0.23691776883266244
gpt4-abs-1_shot_high_temp_60_words,0.27852545348156815,0.07147041593438783,0.13926272674078408,0.13926272674078408
gpt35-abs-1_shot_low_temp_60_words,0.5448504983388704,0.19068736141906875,0.27574750830564787,0.27574750830564787
gpt35-abs-1_shot_med_temp_60_words,0.5057979017117613,0.15699281370923163,0.25289895085588066,0.25289895085588066
gpt35-abs-1_shot_high_temp_60_words,0.12162937464142284,0.01838024124066628,0.05393000573723466,0.05393000573723466
