,rouge1,rouge2,rougeL,rougeLsum
gpt4_ats_low_temp_30_words,0.4053058216654385,0.1107011070110701,0.210759027266028,0.210759027266028
gpt4_ats_med_temp_30_words,0.37278106508875747,0.08592592592592592,0.18491124260355035,0.18491124260355035
gpt4_ats_high_temp_30_words,0.2718589272593681,0.05003679175864606,0.13225569434239529,0.13225569434239529
gpt35_ats_low_temp_30_words,0.41249092229484385,0.1090909090909091,0.19607843137254902,0.19607843137254902
gpt35_ats_med_temp_30_words,0.3932002956393201,0.08882309400444115,0.17294900221729487,0.17294900221729487
gpt35_ats_high_temp_30_words,0.11596385542168675,0.016591251885369532,0.05722891566265059,0.05722891566265059
gpt4_ats_low_temp_60_words,0.444179104477612,0.1123729826658697,0.19940298507462687,0.19940298507462687
gpt4_ats_med_temp_60_words,0.4473372781065089,0.10781990521327013,0.18224852071005918,0.18224852071005918
gpt4_ats_high_temp_60_words,0.187683284457478,0.032883147386964184,0.08914956011730205,0.08914956011730205
gpt35_ats_low_temp_60_words,0.5025699600228442,0.14979988564894228,0.21016561964591662,0.21016561964591662
gpt35_ats_med_temp_60_words,0.47704367301231804,0.1210762331838565,0.19708846584546474,0.19708846584546474
gpt35_ats_high_temp_60_words,0.1243463102847182,0.006980802792321116,0.046484601975595584,0.046484601975595584
gpt4_ats_low_temp_90_words,0.47930082796688134,0.141804788213628,0.2097516099356026,0.2097516099356026
gpt4_ats_med_temp_90_words,0.4451733833177132,0.11632270168855535,0.1949390815370197,0.1949390815370197
gpt4_ats_high_temp_90_words,0.214859437751004,0.04020100502512563,0.09036144578313253,0.09036144578313253
gpt35_ats_low_temp_90_words,0.48696461824953446,0.16309412861137,0.22532588454376165,0.22532588454376165
gpt35_ats_med_temp_90_words,0.45919778699861685,0.11536686663590216,0.20101429230059936,0.20101429230059936
gpt35_ats_high_temp_90_words,0.13489736070381234,0.016634050880626222,0.05767350928641251,0.05767350928641251
gpt4_ats_low_temp_120_words,0.42480620155038756,0.12024825446082237,0.19612403100775197,0.19612403100775197
gpt4_ats_med_temp_120_words,0.4241019698725376,0.11828372632392734,0.1869447663190421,0.1869447663190421
gpt4_ats_high_temp_120_words,0.20396600566572237,0.03564196030781693,0.08093889113719142,0.08093889113719142
gpt35_ats_low_temp_120_words,0.45516141889198886,0.16354208216992422,0.21761658031088085,0.21761658031088085
gpt35_ats_med_temp_120_words,0.44683301343570053,0.145985401459854,0.20652591170825338,0.20652591170825338
gpt35_ats_high_temp_120_words,0.14950166112956811,0.014131338320864505,0.050664451827242524,0.050664451827242524
