,rouge1,rouge2,rougeL,rougeLsum
gpt4-ets-5_shots_low_temp_60_words,0.4980147475893364,0.17603634298693924,0.24503686897334087,0.24503686897334087
gpt4-ets-5_shots_med_temp_60_words,0.4766355140186916,0.15789473684210523,0.2336448598130841,0.2336448598130841
gpt4-ets-5_shots_high_temp_60_words,0.49144811858608894,0.17579908675799086,0.2371721778791334,0.2371721778791334
gpt35-ets-5_shots_low_temp_60_words,0.5016987542468856,0.1598639455782313,0.23895809739524349,0.23895809739524349
gpt35-ets-5_shots_med_temp_60_words,0.4923413566739606,0.1325301204819277,0.22975929978118162,0.22975929978118162
gpt35-ets-5_shots_high_temp_60_words,0.47287264420331243,0.12464265294453973,0.20902341519131926,0.20902341519131926
gpt4-ets-3_shots_low_temp_60_words,0.49885583524027455,0.15693012600229095,0.2322654462242563,0.2322654462242563
gpt4-ets-3_shots_med_temp_60_words,0.49230769230769234,0.15876777251184834,0.23550295857988165,0.23550295857988165
gpt4-ets-3_shots_high_temp_60_words,0.4409356725146199,0.16393442622950816,0.2198830409356725,0.2198830409356725
gpt35-ets-3_shots_low_temp_60_words,0.5270718232044198,0.18141592920353983,0.25193370165745854,0.25193370165745854
gpt35-ets-3_shots_med_temp_60_words,0.4784580498866213,0.13280363223609537,0.21428571428571427,0.21428571428571427
gpt35-ets-3_shots_high_temp_60_words,0.09701928696668614,0.007021650087770626,0.05143191116306253,0.05143191116306253
gpt4-ets-1_shot_low_temp_60_words,0.49326303456356185,0.16656891495601175,0.23901581722319862,0.23901581722319862
gpt4-ets-1_shot_med_temp_60_words,0.5037463976945246,0.1569532602423543,0.22478386167146974,0.22478386167146974
gpt4-ets-1_shot_high_temp_60_words,0.476027397260274,0.14857142857142858,0.21575342465753428,0.21575342465753428
gpt35-ets-1_shot_low_temp_60_words,0.5352422907488986,0.18302094818081588,0.2665198237885463,0.2665198237885463
gpt35-ets-1_shot_med_temp_60_words,0.5195689166193987,0.17262918796138557,0.25524673851389673,0.25524673851389673
gpt35-ets-1_shot_high_temp_60_words,0.12914285714285711,0.014874141876430207,0.054857142857142854,0.054857142857142854
