,rouge1,rouge2,rougeL,rougeLsum
gpt4_ets_low_temp_30_words,0.3927068723702665,0.1348314606741573,0.2187938288920056,0.2187938288920056
gpt4_ets_med_temp_30_words,0.38450704225352106,0.1086036671368124,0.19999999999999998,0.19999999999999998
gpt4-ets_high_temp_30_words,0.35090252707581226,0.11713665943600866,0.1891696750902527,0.1891696750902527
gpt35_ets_low_temp_30_words,0.4206848357791754,0.1497550734779566,0.2180293501048218,0.2180293501048218
gpt35_ets_med_temp_30_words,0.38461538461538464,0.10504201680672269,0.20139860139860138,0.20139860139860138
gpt35-ets_high_temp_30_words,0.1457725947521866,0.02335766423357664,0.07434402332361517,0.07434402332361517
gpt4_ets_low_temp_60_words,0.4985706117781589,0.15798511734401832,0.23441966838193257,0.23441966838193257
gpt4_ets_med_temp_60_words,0.4919908466819222,0.16036655211912945,0.2391304347826087,0.2391304347826087
gpt4-ets_high_temp_60_words,0.4672176308539945,0.14671814671814673,0.21707988980716256,0.21707988980716256
gpt35_ets_low_temp_60_words,0.4917491749174917,0.15748898678414097,0.23762376237623764,0.23762376237623764
gpt35_ets_med_temp_60_words,0.4797297297297297,0.1319052987598647,0.21621621621621623,0.21621621621621623
gpt35-ets_high_temp_60_words,0.18711484593837535,0.024677509814918674,0.08403361344537814,0.08403361344537814
gpt4_ets_low_temp_90_words,0.4853828306264501,0.14955875522526707,0.21160092807424594,0.21160092807424594
gpt4_ets_med_temp_90_words,0.4988784208165097,0.1742254153569825,0.24136384028712426,0.24136384028712426
gpt4-ets_high_temp_90_words,0.3985637342908438,0.11769991015274035,0.18043087971274685,0.18043087971274685
gpt35_ets_low_temp_90_words,0.47501146263182026,0.15052776502983017,0.22925263640531868,0.22925263640531868
gpt35_ets_med_temp_90_words,0.4895042429656097,0.16897630755476084,0.2251004912907548,0.2251004912907548
gpt35-ets_high_temp_90_words,0.11874707807386628,0.011230697239120261,0.049555867227676485,0.049555867227676485
gpt4_ets_low_temp_120_words,0.46026011560693647,0.18582791033984092,0.2507225433526012,0.2507225433526012
gpt4_ets_med_temp_120_words,0.46053110221898874,0.17546414270112848,0.2371771553292106,0.2371771553292106
gpt4-ets_high_temp_120_words,0.4182450715114031,0.13539651837524178,0.18477000386548123,0.18477000386548123
gpt35_ets_low_temp_120_words,0.438821752265861,0.13907785336356765,0.2167673716012085,0.2167673716012085
gpt35_ets_med_temp_120_words,0.43840714551544474,0.14823091247672254,0.21883141049497581,0.21883141049497581
gpt35-ets_high_temp_120_words,0.14321398834304744,0.020833333333333332,0.058284762697751874,0.058284762697751874
