,baseline-ext-R1,baseline-ext-R2,baseline-ext-RL,bert-base-ext-zs-R1,bert-base-ext-zs-R2,bert-base-ext-zs-RL,t5-small-ext-zs-R1,t5-small-ext-zs-R2,t5-small-ext-zs-RL,gpt-3.5-ext-zs-R1,gpt-3.5-ext-zs-R2,gpt-3.5-ext-zs-RL,gpt-4-ext-zs-R1,gpt-4-ext-zs-R2,gpt-4-ext-zs-RL,bert-base-ext-ft-R1,bert-base-ext-ft-R2,bert-base-ext-ft-RL,gpt35-ext-ft-R1,gpt35-ext-ft-R2,gpt35-ext-ft-RL,gpt40-ext-ft-R1,gpt40-ext-ft-R2,gpt40-ext-ft-RL
0,0.2500,0.1053,0.1875,0.3077,0.1250,0.2308,0.2727,0.0698,0.2045,0.1987,0.0537,0.1589,0.1768,0.0670,0.1215,0.1739,0.0444,0.1522,0.4545,0.2326,0.3636,0.3596,0.1149,0.2472
1,0.3360,0.1138,0.1920,0.2778,0.0571,0.1667,0.4225,0.1449,0.2535,0.4444,0.1591,0.2667,0.4632,0.1720,0.2737,0.5000,0.1860,0.2955,0.5783,0.2469,0.3614,0.4286,0.1220,0.2381
2,0.3333,0.1625,0.1975,0.3652,0.1239,0.2261,0.4634,0.2250,0.2683,0.3077,0.0781,0.1846,0.3333,0.1688,0.1923,0.5556,0.3182,0.3333,0.4494,0.1609,0.2247,0.4884,0.1905,0.3256
3,0.4633,0.2514,0.3842,0.3304,0.1667,0.2261,0.4404,0.1495,0.2385,0.5680,0.3713,0.4615,0.4080,0.1910,0.2985,0.4580,0.2481,0.3359,0.5263,0.3750,0.4211,0.5000,0.2982,0.3793
4,0.4110,0.1667,0.2466,0.3582,0.1515,0.2090,0.4186,0.0714,0.2558,0.3919,0.1918,0.2162,0.3684,0.1467,0.1974,0.3830,0.1087,0.2128,0.4286,0.0833,0.2245,0.4490,0.1667,0.2653
5,0.5361,0.3021,0.4021,0.2990,0.1146,0.2062,0.3651,0.2097,0.3016,0.3871,0.1860,0.3041,0.2575,0.0606,0.1717,0.3972,0.2158,0.3262,0.3724,0.1678,0.2621,0.4892,0.2628,0.3741
6,0.3077,0.1913,0.2051,0.1538,0.0225,0.0879,0.1471,0.0606,0.1176,0.1898,0.0741,0.1168,0.1761,0.0637,0.0881,0.3500,0.2308,0.2250,0.2368,0.0541,0.1579,0.4865,0.3056,0.2703
7,0.2488,0.0804,0.1592,0.2059,0.0667,0.1324,0.2542,0.0517,0.1695,0.2927,0.0988,0.1829,0.2283,0.0549,0.1196,0.2857,0.0727,0.1786,0.3478,0.0889,0.2174,0.3226,0.1099,0.1505
8,0.3129,0.2069,0.2857,0.3421,0.2162,0.3421,0.5797,0.4179,0.5507,0.3540,0.2342,0.3186,0.3852,0.2256,0.3111,0.5474,0.3871,0.5263,0.5111,0.3409,0.4667,0.4773,0.3488,0.4545
9,0.1675,0.0697,0.1281,0.1105,0.0409,0.0814,0.1702,0.0217,0.1277,0.1739,0.0549,0.1196,0.1584,0.0500,0.0990,0.2174,0.0667,0.1739,0.3571,0.1220,0.2143,0.3953,0.1667,0.2791
10,0.5729,0.4000,0.5104,0.4813,0.3096,0.3402,0.4333,0.2881,0.3667,0.4126,0.2624,0.2960,0.4222,0.2612,0.3333,0.4474,0.2133,0.2895,0.6333,0.4746,0.5500,0.6271,0.4828,0.5424
11,0.4639,0.1875,0.2062,0.4111,0.1236,0.1778,0.3971,0.1343,0.2059,0.4407,0.1600,0.2147,0.3860,0.1183,0.1754,0.4354,0.1241,0.1905,0.4186,0.1732,0.2016,0.3906,0.1111,0.2188
12,0.4324,0.1639,0.2378,0.2415,0.0304,0.1283,0.4390,0.1653,0.2764,0.3834,0.1152,0.1969,0.2609,0.0293,0.1546,0.4806,0.1102,0.2481,0.3564,0.0404,0.1584,0.4000,0.1290,0.2105
13,0.2281,0.0000,0.1228,0.2609,0.0000,0.1522,0.2254,0.0000,0.1127,0.3623,0.1471,0.2609,0.2527,0.0667,0.1538,0.2697,0.0690,0.2247,0.5227,0.3023,0.4091,0.2759,0.0000,0.1379
14,0.2895,0.0667,0.1974,0.2500,0.0541,0.1518,0.2936,0.0935,0.2202,0.2821,0.0779,0.1538,0.2419,0.0939,0.1674,0.3333,0.1000,0.1765,0.3469,0.1042,0.2041,0.3000,0.0816,0.2000
15,0.1725,0.0711,0.1333,0.1455,0.0733,0.1309,0.2056,0.0000,0.1308,0.2657,0.1135,0.2517,0.1722,0.0676,0.1531,0.3333,0.1489,0.2917,0.4051,0.1558,0.3544,0.1573,0.0000,0.1124
16,0.2872,0.0622,0.1333,0.2617,0.0878,0.1477,0.3137,0.0800,0.2353,0.4358,0.1808,0.2682,0.3886,0.1340,0.2085,0.3220,0.0690,0.1695,0.3654,0.0784,0.1923,0.2308,0.0392,0.1154
17,0.4653,0.2098,0.2500,0.3625,0.1398,0.1692,0.2515,0.0606,0.1317,0.3871,0.1661,0.2151,0.2983,0.1160,0.1627,0.3350,0.1026,0.1929,0.3392,0.1183,0.1404,0.2959,0.0479,0.1420
18,0.1453,0.0452,0.1117,0.1854,0.0537,0.1457,0.1667,0.0244,0.0952,0.2320,0.1341,0.1878,0.2874,0.1576,0.2395,0.3579,0.0860,0.2316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,0.3750,0.2254,0.2917,0.4211,0.2443,0.3158,0.2410,0.0988,0.1687,0.2667,0.1504,0.2370,0.3034,0.1119,0.2069,0.2376,0.0808,0.1584,0.6222,0.3636,0.5333,0.4583,0.2979,0.3958
20,0.3060,0.2210,0.1530,0.2644,0.1744,0.1494,0.4500,0.3077,0.2500,0.2909,0.1227,0.1576,0.2679,0.1739,0.1340,0.3542,0.1915,0.2917,0.5843,0.3908,0.4494,0.5227,0.3721,0.2727
21,0.2914,0.1477,0.2384,0.2410,0.1220,0.1205,0.3333,0.2000,0.2500,0.2481,0.1260,0.1550,0.1773,0.0498,0.1084,0.4138,0.2353,0.2299,0.5570,0.2597,0.2532,0.4103,0.2632,0.2564
22,0.4944,0.2159,0.2921,0.3474,0.0948,0.1690,0.3729,0.1724,0.2373,0.5455,0.2577,0.2667,0.3391,0.1228,0.1826,0.3704,0.1654,0.2222,0.5225,0.2202,0.3063,0.5310,0.2342,0.3009
23,0.2454,0.1366,0.2331,0.2391,0.1978,0.2391,0.5484,0.5333,0.5484,0.1898,0.0889,0.1606,0.2394,0.1429,0.2113,0.5366,0.3750,0.4146,0.2973,0.1667,0.2973,0.1039,0.0533,0.0779
24,0.3284,0.0804,0.1393,0.3175,0.0856,0.1270,0.2857,0.0388,0.1143,0.3034,0.0909,0.1348,0.3694,0.1032,0.1529,0.5047,0.2286,0.2991,0.4340,0.1923,0.3208,0.2772,0.0606,0.1386
25,0.4024,0.2963,0.4024,0.3490,0.1769,0.3221,0.6000,0.3846,0.5000,0.3511,0.2171,0.2443,0.2745,0.1485,0.1569,0.4815,0.3396,0.3704,0.5778,0.4773,0.5556,0.5977,0.4941,0.5747
26,0.3646,0.1474,0.2083,0.3030,0.0786,0.1732,0.3925,0.1714,0.1682,0.3688,0.1151,0.2270,0.3141,0.0847,0.1780,0.3363,0.0901,0.2478,0.4144,0.1835,0.2342,0.2456,0.0357,0.1930
27,0.2647,0.0896,0.1912,0.2667,0.1017,0.2000,0.3235,0.1515,0.2353,0.3664,0.1550,0.2290,0.2632,0.0800,0.1974,0.5263,0.2703,0.4474,0.4156,0.1600,0.2338,0.3457,0.1013,0.2222
28,0.2982,0.0893,0.1754,0.3333,0.1948,0.2436,0.5352,0.2899,0.3380,0.3521,0.1429,0.2535,0.2346,0.0750,0.1605,0.5208,0.2979,0.3125,0.5238,0.2439,0.4048,0.3333,0.0976,0.2381
29,0.4458,0.2927,0.3253,0.5401,0.3259,0.3504,0.2083,0.0426,0.1042,0.4595,0.1781,0.2568,0.3478,0.1756,0.2222,0.5773,0.2947,0.2680,0.6304,0.4444,0.5000,0.3878,0.1875,0.1633
30,0.2959,0.1198,0.1657,0.1895,0.0777,0.1193,0.2642,0.0769,0.1887,0.3333,0.1446,0.2381,0.2477,0.0926,0.1376,0.4717,0.2692,0.3396,0.3048,0.0971,0.1905,0.3774,0.1346,0.1887
31,0.2667,0.1236,0.1556,0.3288,0.1528,0.1781,0.4444,0.2278,0.3704,0.3106,0.1761,0.2733,0.2873,0.1341,0.2099,0.5122,0.3750,0.4146,0.4250,0.1795,0.2500,0.4444,0.2278,0.2469
32,0.3614,0.1951,0.2771,0.2800,0.1081,0.2133,0.5882,0.3373,0.5412,0.3802,0.1345,0.2975,0.2646,0.0963,0.2011,0.4118,0.2200,0.2353,0.5116,0.2381,0.4419,0.4651,0.2143,0.3953
